,Muffat-FMG__1,Muffat-FMG__2,Muffat-FMG__1-NCM,Muffat-NPC__1,Muffat-NPC__2,Muffat-NPC__3,Muffat-NPC__4,Muffat-pMGL__1,Muffat-pMGL__2,Muffat-pMGL__31,Muffat-pMGL__32,Muffat-pMGL__4,Muffat-pMGL__5,Muffat-pMGL__1-NCM,Muffat-pMGL__2-NCM,Muffat-pMGL__3-NCM
DDX11L1,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0
WASH7P,2,3,10,19,31,29,24,12,30,9,37,1,3,4,8,11
MIR6859-1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
RP11-34P13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,25,4,0,2,0,0,0,0,0,0,0,0,0
OR4G4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4G11P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.7,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0
RP11-34P13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
RP11-34P13.15,1,0,0,3,1,4,0,0,13,0,0,3,2,4,3,0
RP11-34P13.16,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2
RP11-34P13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.13,0,0,3,0,2,0,0,2,0,2,1,0,0,0,0,4
RNU6-1100P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ABC7-43046700E7.1,0,2,2,0,1,9,0,0,0,3,10,0,1,13,0,0
RP11-34P13.18,15,27,54,41,68,75,104,31,23,27,51,21,21,20,15,16
MIR6859-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP006222.1,69,68,37,40,196,73,123,59,31,100,100,33,33,67,38,69
RPL23AP24,2,6,10,22,34,30,21,15,6,11,7,6,9,7,12,20
RP4-669L17.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
RP4-669L17.4,0,0,1,0,10,1,3,0,6,2,3,8,0,8,4,3
RP4-669L17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RP4-669L17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RF00026,0,0,5,1,5,6,6,0,3,0,0,0,0,0,0,0
RP11-206L10.17,0,0,1,1,26,0,1,0,1,0,0,0,0,0,0,0
RP5-857K21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-857K21.9,3,10,11,8,11,34,10,24,27,2,0,10,15,31,35,3
RP5-857K21.8,22994,24592,9996,4229,3650,6319,3883,7645,4998,3562,2519,4077,3759,13020,5176,3709
RP5-857K21.6,376,206,42,279,139,274,133,840,432,155,417,136,123,1867,376,161
MIR6723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-857K21.7,70,47,13,4641,22,36,19,74,11266,16,42,23,24,81,7570,14
RP5-857K21.14,3,7,0,1,4,14,0,7,0,0,0,1,0,4,0,1
RP5-857K21.10,10809,12356,4038,10380,5038,14159,8191,17663,17641,6502,4978,5287,3772,23930,9051,5151
RP5-857K21.11,67,66,17,37,41,77,16,139,92,14,24,7,46,90,33,34
RP5-857K21.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
RP11-206L10.2,5,9,4,17,40,22,27,3,13,6,0,0,6,11,23,5
RNU6-1199P,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RP11-206L10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.9,5,6,6,25,23,25,6,8,32,3,4,8,0,30,2,0
RP11-206L10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.8,18,25,32,48,58,19,64,22,15,15,16,30,17,12,0,14
FAM87B,8,2,18,66,38,24,55,24,14,32,0,12,4,53,18,27
RP11-206L10.11,482,512,688,749,668,902,479,583,639,630,745,642,662,845,646,715
NCRNA00115,7,12,33,231,152,46,73,4,22,12,2,1,0,45,6,17
FAM41C,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0
TUBB8P11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FAM166AP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-54O7.16,0,2,1,1,14,12,2,4,0,1,0,0,0,0,1,1
RP11-54O7.1,0,10,0,14,0,54,1,0,0,0,0,0,0,0,0,0
RP11-54O7.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-54O7.3,2,0,20,25,53,85,0,8,6,12,41,21,0,30,0,120
SAMD11,13,23,54,312,221,108,85,74,20,66,158,23,54,100,0,261
NOC2L,3566,3286,5205,9763,7341,7623,7817,3368,4036,4990,4493,3538,3906,4355,3677,4861
KLHL17,81,128,283,348,477,507,410,124,213,188,299,177,88,210,101,223
PLEKHN1,0,8,2,36,13,23,0,2,0,0,12,12,0,0,20,0
PERM1,0,0,0,11,0,4,0,0,0,0,0,0,0,0,10,0
RP11-54O7.17,0,0,6,55,13,15,24,0,0,12,0,0,0,0,0,8
HES4,597,805,3107,10966,6521,5054,4382,217,344,736,262,283,102,494,745,1106
ISG15,915,1167,141210,3032,1605,2012,1191,809,2556,1898,1944,23398,1370,1056,144086,36676
RP11-54O7.10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
RP11-54O7.11,0,0,0,0,2,2,4,0,0,0,0,6,0,0,0,0
AGRN,294,467,2090,1361,1689,1618,995,369,619,621,619,598,140,307,1527,335
RP11-54O7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-465B22.3,81,50,78,278,253,368,247,35,19,63,77,14,5,59,26,29
RP11-54O7.18,0,0,0,7,4,0,0,0,0,0,0,0,0,0,2,0
RNF223,0,0,0,2,10,4,0,0,0,0,0,0,0,0,0,0
C1orf159,285,471,473,754,652,900,789,520,547,686,653,332,469,838,496,533
RP11-465B22.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-465B22.8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
RP11-465B22.6,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TNFRSF18,8,91,0,34,24,18,23,2,0,0,16,48,3,0,8,0
TNFRSF4,827,1511,149,2,3,0,14,20,2,166,166,543,33,12,313,86
SDF4,11620,15403,12779,14152,15516,18023,11306,16397,14090,18146,18847,15568,12069,15986,12414,17196
B3GALT6,437,543,4201,588,3264,6509,6568,3614,4154,5597,4954,3476,1329,1014,1631,4923
C1QTNF12,0,0,2,376,402,151,221,68,4,10,0,4,0,31,6,8
RP5-902P8.12,0,0,0,5,5,4,3,0,0,0,0,0,0,0,0,0
UBE2J2,2644,2987,3917,6580,7535,5865,6990,3032,2676,3807,4157,2138,3644,3558,2370,3105
RP5-902P8.10,0,0,0,1,3,6,9,0,0,0,8,0,0,0,0,0
SCNN1D,2,8,0,15,25,36,14,0,0,0,2,0,2,0,0,0
ACAP3,709,1073,1968,1750,1106,1859,1044,1370,1313,1404,1519,895,702,1645,760,1457
MIR6726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUSL1,388,739,625,1264,911,1512,1525,693,710,821,908,427,600,1031,486,688
INTS11,2664,3082,4198,7041,5270,6511,6626,3462,3950,4340,4361,2620,3584,5666,2991,4606
MIR6727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-890O3.9,0,0,8,6,1,11,2,1,9,0,1,7,0,7,0,0
CPTP,1414,2047,3036,2535,1493,3595,2711,1788,1934,1922,2159,1295,1530,2820,1910,1591
TAS1R3,0,6,7,8,14,84,34,103,18,2,60,0,34,97,0,9
DVL1,90,206,429,799,1642,1778,1072,441,449,701,1775,201,196,571,281,672
MIR6808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MXRA8,843,507,489,10020,7291,6437,4481,14442,2008,17785,36777,2552,9485,13676,1298,14824
AURKAIP1,4149,4681,6671,10641,11978,18435,13412,4228,4594,6361,5373,5025,4226,6636,4395,6298
RP5-890O3.3,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0
CCNL2,1611,1596,2004,2857,2379,2999,3201,1912,2814,2076,1736,1500,1799,3001,1798,2121
RP4-758J18.2,506,504,763,1403,982,2308,1303,806,883,732,550,517,896,1404,641,574
MRPL20,3302,3298,4601,8129,5863,11769,8288,3427,2901,4603,2763,3283,2687,5093,2825,3774
RN7SL657P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-758J18.13,4,2,4,146,517,136,331,1,18,20,14,2,9,14,20,7
ANKRD65,4,10,66,46,22,58,17,0,0,0,16,0,0,0,0,24
RP4-758J18.7,2,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0
TMEM88B,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
RP4-758J18.10,0,0,12,11,9,31,0,0,0,1,0,0,0,2,0,0
VWA1,220,202,807,1418,533,1403,625,299,331,1061,153,78,58,1111,65,374
ATAD3C,22,9,11,7,30,18,19,10,2,0,1,0,2,6,0,0
ATAD3B,191,465,214,1775,974,1304,1296,478,556,260,379,268,328,178,341,218
RP5-832C2.8,0,4,2,6,42,65,44,19,1,8,6,27,30,43,0,4
ATAD3A,860,1091,1630,3343,1543,3053,2255,1446,1447,2003,2200,1043,1251,1348,1466,1756
TMEM240,4,30,38,107,102,114,95,13,6,21,12,2,2,120,1,8
SSU72,11200,13696,16528,18899,19312,18596,19624,8281,6893,12949,13384,12242,10119,16128,9602,13310
RP5-832C2.5,47,45,89,269,617,354,696,57,61,120,72,114,67,77,63,58
RP11-345P4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf233,163,323,368,110,356,1177,430,640,441,468,1755,738,303,284,424,528
RP11-345P4.9,446,556,447,1186,1353,1341,860,555,552,756,361,198,402,1599,161,700
MIB2,715,1401,2863,3228,3161,3649,3178,1334,1444,2123,2812,1159,878,2829,1338,2419
MMP23B,0,0,0,37,13,34,20,202,4,32,358,15,45,55,4,23
CDK11B,280,348,447,543,599,1802,771,448,467,496,415,381,385,630,637,394
RP11-345P4.10,0,0,1,2,1,3,0,0,0,0,0,1,0,1,4,0
SLC35E2B,1500,1513,2326,910,935,1233,689,1596,1362,1095,1293,1748,1565,1531,1143,1641
RP11-345P4.6,7,12,0,4,9,15,13,4,24,5,5,4,0,5,10,9
MMP23A,1,4,0,3,5,3,21,9,18,5,15,1,0,18,0,1
CDK11A,0,5,10,4,23,10,9,32,5,10,9,8,0,6,22,3
RP1-283E3.8,75,64,43,32,32,10,25,41,88,61,45,22,46,30,14,53
RP1-283E3.4,0,0,0,0,14,1,3,0,0,0,0,0,0,0,0,0
SLC35E2,201,243,464,519,738,878,433,803,676,1277,1061,310,227,1236,480,1346
NADK,16526,15627,20597,3429,2648,2886,2423,4755,5714,11420,8412,17591,5601,5222,28388,14797
GNB1,14844,22086,26359,8004,29514,21554,16263,20358,21080,27080,25162,23281,24104,18739,24040,28375
RP1-140A9.1,3,12,70,20,126,197,111,3,0,18,8,4,0,96,0,20
CALML6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM52,8,30,38,115,126,107,97,12,20,12,15,16,14,61,2,6
CFAP74,4,4,0,40,31,137,32,50,14,3,0,0,0,206,2,8
RP11-547D24.1,0,0,0,10,21,0,0,0,0,0,0,0,1,0,0,0
GABRD,6,32,0,106,48,12,0,0,3,0,0,0,2,0,14,0
RP11-547D24.3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PRKCZ,98,160,344,726,1088,1033,768,33,77,60,36,5,23,110,49,22
RP5-892K4.1,0,0,6,13,14,2,18,0,0,1,1,0,0,0,0,0
RP11-181G12.2,12,17,70,18,57,62,46,2,17,30,26,0,3,123,2,16
FAAP20,1993,2600,3268,4977,4988,6177,3707,2935,2593,4238,3783,2664,2049,5187,2526,4024
RP11-181G12.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
SKI,44,87,174,145,339,616,226,97,95,255,310,38,169,245,115,155
MORN1,155,165,292,439,309,788,364,325,245,217,286,173,258,605,190,272
RP4-713A8.1,0,0,0,3,2,12,0,0,0,0,0,0,0,0,0,0
RP4-740C4.5,6,12,2,18,18,57,8,21,30,51,42,17,2,32,22,39
RP4-740C4.7,0,0,0,14,10,31,18,0,5,8,4,0,4,18,0,6
RER1,11364,11024,11032,14495,10873,10878,13441,10605,10119,11787,10563,11333,10860,8886,9037,9786
PEX10,961,1347,2154,3113,3738,1888,1761,1307,1702,2278,1847,1074,1012,3277,1281,2790
PLCH2,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0
RP3-395M20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP3-395M20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PANK4,13,10,150,4,12,4,5,8,8,12,12,10,175,4,16,205
HES5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
RP3-395M20.12,0,4,0,0,1,0,0,0,0,0,0,4,0,0,0,1
RP3-395M20.8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF14,179,161,2132,0,2,6,0,1788,83,27,38,80,55,1180,91,18
RP3-395M20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP3-395M20.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM213B,728,199,18,8,0,12,8,4,16,471,13,18,109,19,12,4
MMEL1,0,0,0,0,0,0,16,0,2,0,2,0,0,0,0,0
RP13-436F16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTC34,0,0,0,0,1,2,0,0,6,0,0,0,0,14,0,0
ABC14-1188822O7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-740P5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-740P5.3,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0
RP5-907A6.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-163G9.1,27,62,138,125,91,289,128,31,21,18,16,2,4,98,12,16
PRDM16,76,150,506,419,562,1469,461,293,160,180,55,0,90,777,75,101
MIR4251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-163G9.2,0,0,0,8,7,4,2,0,0,0,0,0,0,0,0,8
RP11-193J6.1,0,0,0,17,17,10,2,0,0,0,0,0,0,22,0,0
RP11-22L13.1,0,0,0,6,16,20,21,2,0,12,0,0,0,0,0,6
ARHGEF16,0,42,14,12,35,42,20,58,60,36,32,48,44,59,104,44
RP11-168F9.2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
MEGF6,1167,1423,246,766,84,53,118,4725,556,2105,2063,937,420,1014,98,400
MIR551A,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-46F15.2,0,0,0,5,16,2,4,2,1,0,2,0,0,0,0,0
TPRG1L,6684,6302,4163,2482,2531,1893,3092,4548,3505,4826,4049,3401,5271,3919,3190,3306
WRAP73,1593,1710,2231,1870,1721,1803,1783,1349,1635,1413,1062,1321,1590,1910,2315,1221
TP73,55,46,41,505,56,83,173,103,35,19,4,18,22,84,182,2
RP5-1092A11.5,10,5,2,10,2,0,0,1,6,0,0,1,0,6,4,0
RP5-1092A11.2,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0
TP73-AS1,803,644,1485,944,701,1468,912,1215,1091,1639,1605,929,1275,2007,1047,1871
RF02197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC27,0,0,1,23,25,13,21,0,2,0,0,1,0,0,0,0
SMIM1,12,6,41,109,63,63,29,14,10,12,22,20,4,22,22,14
LRRC47,3417,3881,6515,5574,6239,7536,6009,3983,3873,4714,5177,3641,3742,5506,3479,5304
RN7SL574P,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
RP1-286D6.5,0,0,2,2,1,0,0,4,8,0,0,0,0,3,0,0
CEP104,1170,1274,1691,1103,1328,1678,1412,1454,1694,1582,2020,1282,1749,1470,1809,1510
DFFB,285,319,561,335,475,341,264,409,356,253,256,287,522,245,306,289
C1orf174,2307,2610,3075,1604,1505,1414,1040,2059,1949,2188,1878,2294,2540,2617,2555,2020
RP13-15E13.1,26,52,35,15,23,29,4,24,13,23,16,8,8,13,12,6
RP13-614K11.1,0,0,0,17,10,4,14,0,0,0,0,0,0,0,0,0
RP13-614K11.2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
RP11-718D19.1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
RP11-718D19.2,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0
RP11-374C13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-1166F10.1,0,4,5,6,0,0,14,0,0,0,0,0,0,0,0,0
RP5-1166F10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-37J18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-37J18.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AJAP1,28,37,133,42,263,922,672,135,64,349,625,445,0,102,62,517
RP4-603B14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-603B14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-542C10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-703E10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-58B11.2,0,0,0,2,1,2,0,0,0,0,0,0,0,2,0,0
RP1-58B11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-58B11.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
RP3-491M17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-154H17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPHP4,397,277,469,367,341,389,268,649,498,450,580,339,257,829,165,615
KCNAB2,7613,8782,6034,179,145,182,166,10445,9506,3148,2625,5106,6348,5701,11447,2442
CHD5,0,10,16,71,76,57,16,2,11,24,0,0,0,0,0,24
RPL22,3463,3317,2415,7794,10602,9819,6761,2745,3174,4167,3123,2318,3581,4321,2221,2656
RP1-120G22.11,0,0,0,27,34,127,21,17,4,1,6,1,10,0,0,5
RNF207,22,23,12,47,39,71,26,40,38,29,54,8,11,46,2,17
ICMT,4631,5458,4965,4364,2226,3824,2912,4717,4204,5575,6526,5221,4965,4703,3892,4927
LINC00337,13,4,19,4,14,0,20,0,0,0,0,5,2,0,0,3
HES3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR153,280,740,1741,52,1060,891,539,561,548,1441,2861,257,2142,104,243,1443
ACOT7,943,1575,1359,6681,6278,9606,7663,1660,1673,4098,2687,1419,1992,898,1269,1688
RP1-202O8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HES2,12,40,6,364,144,93,54,8,26,26,44,110,8,11,36,27
ESPN,0,0,0,166,131,402,48,2,4,17,4,0,0,4,3,12
MIR4252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-202O8.2,0,0,0,22,23,4,7,0,0,0,0,0,0,0,0,0
TNFRSF25,0,0,10,23,95,56,42,11,70,19,24,9,6,37,2,29
PLEKHG5,67,72,99,1271,1001,1394,894,2058,869,1670,1108,235,398,697,193,1851
NOL9,1065,1177,1167,2159,1863,1832,1591,1242,1379,1774,1592,1173,1553,1106,1010,1867
RNU6-731P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-58A11.2,4,2,0,2,1,5,0,0,9,0,6,1,1,8,4,2
TAS1R1,0,2,13,28,18,16,51,4,12,0,0,0,8,37,0,14
ZBTB48,881,880,1235,1056,1182,1162,1059,1252,1433,1255,947,1056,1283,1620,1559,1279
KLHL21,6926,6225,8681,6060,9279,3122,5830,4697,4624,5596,7098,4685,5882,6456,5016,6220
PHF13,1050,846,1394,850,1285,736,711,1002,555,1304,1681,545,1133,1706,1097,1860
THAP3,584,807,1489,1425,2064,1816,2054,871,719,725,725,798,645,1323,977,763
DNAJC11,1503,1839,2550,2784,2011,2249,2649,2284,2586,2642,2373,1864,1993,2291,1903,2155
RP11-242F24.1,0,0,0,0,2,8,4,0,0,3,0,0,0,0,0,3
RP11-242F24.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
RP11-312B8.1,10,22,27,87,59,132,82,20,7,8,7,14,1,36,0,20
CAMTA1,3455,3441,4819,3807,4621,5498,3681,2651,3103,3990,2447,2478,2493,6291,1932,3743
RP11-312B8.2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
RP11-334N17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-8P,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RP3-453P22.1,1,0,1,17,21,6,16,1,0,1,0,1,0,7,1,1
RP3-453P22.2,0,0,0,4,0,16,0,0,2,0,0,0,0,0,0,0
RP4-549F15.1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
RP11-338N10.1,0,0,0,0,8,2,0,1,0,0,0,0,0,2,0,0
RP11-338N10.2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
RP11-338N10.3,0,2,0,2,14,1,11,1,0,2,0,0,0,0,0,8
VAMP3,19188,20332,16580,9672,6393,5857,6906,15973,16684,18599,14117,15936,19062,20749,12262,13797
RP3-467L1.6,2,7,17,22,26,43,26,10,0,10,1,0,18,8,0,5
PER3,1914,1628,1711,589,1299,379,528,2279,2288,1600,1465,1419,2936,1378,1636,1970
RP3-467L1.4,3,5,9,27,40,15,2,2,8,6,2,3,0,7,6,3
UTS2,42,105,0,0,0,0,0,0,0,4,22,6,0,0,0,0
TNFRSF9,366,1033,28,65,11,10,0,44,10,195,207,452,29,0,17,191
RP5-892F13.2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0
PARK7,10496,10648,12938,14663,23063,25146,15872,10449,9344,14137,10103,8851,9517,19112,7156,12502
RF00019,59,67,71,141,204,214,91,119,136,72,44,39,45,148,102,42
CTA-215D11.6,0,0,0,39,25,15,7,0,27,3,8,0,0,4,0,3
CTA-215D11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERRFI1,769,648,864,8685,4535,2092,1996,1249,1419,5990,4314,972,1008,1144,650,2862
RP11-431K24.1,0,7,0,137,198,18,12,0,0,0,0,0,1,0,0,0
CTA-215D11.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RP11-431K24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-431K24.3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
RNU1-7P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-431K24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-991P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC45A1,19,173,158,296,200,385,171,144,131,231,224,68,20,426,22,147
RERE,821,1233,2489,1093,1190,2365,1231,1710,1710,1734,1136,841,981,1922,1898,1230
RP5-1115A15.1,3,0,29,4,4,0,0,1,0,2,0,0,2,2,23,3
RF00599,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RP5-1115A15.2,0,0,0,2,2,0,0,0,6,0,0,0,0,0,0,0
RP4-633I8.1,5,2,0,6,8,9,1,5,4,0,3,0,7,4,0,0
RP4-633I8.2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
RP4-633I8.3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
RP4-633I8.4,0,4,4,2,1,4,0,0,0,0,0,0,0,9,0,0
RP11-185B14.1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
ENO1,104627,118895,99984,190012,127707,219191,128785,87792,85729,118740,124273,112060,132044,116856,85175,99955
MIR6728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP3-477M7.3,15,7,3,31,24,49,20,3,24,12,16,3,1,21,14,15
RNU6-304P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP3-477M7.4,31,17,28,30,27,30,47,43,50,50,10,39,59,15,101,67
RP3-477M7.5,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0
RP3-477M7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA6,0,0,0,34,6,2,0,0,0,0,0,0,0,0,0,0
RN7SL451P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC2A7,0,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0
SLC2A5,4998,5937,3182,99,73,96,188,912,616,2916,1925,4025,36,876,922,1216
RF00424,0,2,3,0,0,0,2,2,0,0,0,0,0,0,0,0
GPR157,259,358,190,76,254,91,194,91,146,548,461,214,56,46,247,533
MIR34AHG,45,46,100,85,125,66,158,82,181,50,65,40,46,70,198,71
MIR34A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP3-510D11.2,59,31,58,242,268,403,97,65,90,141,40,53,27,177,29,65
H6PD,2843,3028,3006,683,832,1916,300,6409,3153,3411,3848,5817,5431,3536,2443,3808
SPSB1,2495,3737,3662,3529,2709,868,1178,1139,953,3054,2922,1681,826,2250,5119,4405
CTD-2510L9.2,0,0,21,3,0,11,0,0,6,4,0,0,0,4,0,0
CTD-2510L9.1,186,122,232,191,74,378,186,227,183,289,169,72,63,579,109,218
RNA5SP40,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
RP13-392I16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A33,2346,2623,3496,3640,5919,2176,4848,2632,2547,2131,1960,2208,1686,7425,2154,3084
RP13-15M17.1,0,2,2,7,0,26,2,10,4,0,0,0,2,14,16,0
TMEM201,499,827,1489,1719,1019,1605,1456,777,807,1398,765,538,498,1450,937,1578
PIK3CD,3861,4282,4256,194,157,263,91,5155,4597,2879,2515,3021,4129,1898,6313,3069
C1orf200,25,31,115,0,0,0,0,27,11,6,12,83,32,22,87,39
RP11-558F24.2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
RP11-558F24.4,39,31,20,201,66,114,84,0,29,46,48,33,14,44,49,33
CLSTN1,2173,3388,5236,9233,8815,7370,4544,7672,6950,9410,7998,2145,3822,8532,5411,8507
RP11-558F24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
